store_id,latitude,longitude,fulfilment_dc,fulfilment_dc_standard
B048,3.11899569102254,101.674254005687,HQ,HQ
B049,3.12716833801867,101.616718523164,HQ,HQ
B050,3.0867867443121,101.647892277114,HQ,HQ
B051,2.9182183656946,101.475055622881,HQ,HQ
B052,3.76405639858871,100.98334879708,HQ,HQ
B053,3.12948950677,101.635057857646,HQ,HQ
B054,3.42446384811363,101.180859721271,HQ,HQ
B055,3.46281983888119,101.657567922445,HQ,HQ
B056,2.93012530159053,101.856644122697,HQ,HQ
B057,3.1053865454446,101.647319217329,HQ,HQ
B058,3.31139339923542,101.420124505207,HQ,HQ
B059,2.95898402910422,101.839219722645,HQ,HQ
B060,3.01144630142017,101.72221116963,HQ,HQ
B062,3.5033927441002,101.103580240824,HQ,HQ
B063,3.21401969991375,101.644462955391,HQ,HQ
B064,3.16372154325301,101.657862575634,HQ,HQ
B065,3.00734680110009,101.805579173145,HQ,HQ
B066,3.0781493474783,101.586845873856,HQ,HQ
B067,2.99134155232605,101.789088317281,HQ,HQ
B068,3.16646046299021,101.65241301398,HQ,HQ
B069,2.94532507997758,101.847051230274,HQ,HQ
B070,3.09934835551811,101.646546041242,HQ,HQ
B071,3.54614620634078,101.660771431858,HQ,HQ
B072,3.20759214250718,101.68991099876,HQ,HQ
B073,3.1331975719769,101.687291665543,HQ,HQ
B074,3.08479054036529,101.69029566172,HQ,HQ
B075,3.1972104710288,101.615914433005,HQ,HQ
B076,3.07417315956218,101.648172897949,HQ,HQ
B077,2.98220272916131,101.816963665179,HQ,HQ
B079,2.88600508420643,101.792565244767,HQ,HQ
B080,2.89875139543643,101.833282088792,HQ,HQ
B081,3.11887782262832,101.67778121811,HQ,HQ
B082,3.23654772857954,101.673735772715,HQ,HQ
B083,2.95672026569593,101.791871988043,HQ,HQ
B084,3.23872893345302,101.649905975291,HQ,HQ
B085,3.25584781048328,101.655563356999,HQ,HQ
B087,2.96669744273295,101.790034658172,HQ,HQ
